starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 27 12:15:26 2021	1632719726	0	76	76	67
Mon Sep 27 12:15:26 2021	1632719726	4	835	839	834
Mon Sep 27 12:15:26 2021	1632719726	5	863	869	862
Mon Sep 27 12:15:26 2021	1632719726	4	887	891	886
Mon Sep 27 12:15:26 2021	1632719726	5	901	906	901
Mon Sep 27 12:15:26 2021	1632719726	5	952	957	950
Mon Sep 27 12:15:26 2021	1632719726	4	969	973	968
Mon Sep 27 12:15:26 2021	1632719726	4	979	983	977
Mon Sep 27 12:15:26 2021	1632719726	4	1018	1022	1017
Mon Sep 27 12:15:26 2021	1632719726	4	1027	1030	1026
Mon Sep 27 12:15:26 2021	1632719726	5	1029	1034	1028
Mon Sep 27 12:15:26 2021	1632719726	4	1066	1070	1065
Mon Sep 27 12:15:26 2021	1632719726	5	1086	1091	1086
Mon Sep 27 12:15:26 2021	1632719726	5	1133	1139	1130
Mon Sep 27 12:15:26 2021	1632719726	4	1141	1145	1140
Mon Sep 27 12:15:26 2021	1632719726	5	1142	1147	1141
Mon Sep 27 12:15:26 2021	1632719726	4	1157	1161	1156
Mon Sep 27 12:15:26 2021	1632719726	3	1208	1212	1194
Mon Sep 27 12:15:26 2021	1632719726	5	1209	1215	1197
Mon Sep 27 12:15:26 2021	1632719726	6	1210	1216	1208
Mon Sep 27 12:15:26 2021	1632719726	4	1230	1234	1227
Mon Sep 27 12:15:26 2021	1632719726	4	1252	1255	1246
Mon Sep 27 12:15:26 2021	1632719726	5	1271	1276	1240
Mon Sep 27 12:15:26 2021	1632719726	4	1299	1303	1272
Mon Sep 27 12:15:26 2021	1632719726	4	1329	1332	1326
Mon Sep 27 12:15:26 2021	1632719726	4	1441	1446	1440
Mon Sep 27 12:15:26 2021	1632719726	5	1442	1447	1373
Mon Sep 27 12:15:26 2021	1632719726	4	1449	1453	1448
Mon Sep 27 12:15:26 2021	1632719726	3	1480	1483	1477
Mon Sep 27 12:15:26 2021	1632719726	5	1481	1485	1478
Mon Sep 27 12:15:26 2021	1632719726	4	1501	1504	1490
Mon Sep 27 12:15:26 2021	1632719726	4	1502	1506	1500
Mon Sep 27 12:15:26 2021	1632719726	4	1503	1506	1487
