starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 27 12:11:41 2021	1632719501	0	65	66	56
Mon Sep 27 12:11:41 2021	1632719501	7	781	788	780
Mon Sep 27 12:11:41 2021	1632719501	4	940	944	932
Mon Sep 27 12:11:41 2021	1632719501	5	963	968	962
Mon Sep 27 12:11:41 2021	1632719501	6	969	976	968
Mon Sep 27 12:11:41 2021	1632719501	5	992	997	987
Mon Sep 27 12:11:41 2021	1632719501	5	1045	1050	1044
Mon Sep 27 12:11:41 2021	1632719501	4	1047	1051	1046
Mon Sep 27 12:11:41 2021	1632719501	6	1052	1058	1051
Mon Sep 27 12:11:41 2021	1632719501	5	1090	1094	1089
Mon Sep 27 12:11:41 2021	1632719501	5	1093	1098	1092
Mon Sep 27 12:11:41 2021	1632719501	6	1156	1162	1155
Mon Sep 27 12:11:41 2021	1632719501	5	1164	1170	1164
Mon Sep 27 12:11:41 2021	1632719501	5	1180	1185	1178
Mon Sep 27 12:11:41 2021	1632719501	4	1191	1195	1190
Mon Sep 27 12:11:41 2021	1632719501	6	1190	1197	1187
Mon Sep 27 12:11:41 2021	1632719501	5	1337	1342	1332
Mon Sep 27 12:11:41 2021	1632719501	6	1365	1370	1361
Mon Sep 27 12:11:41 2021	1632719501	4	1415	1419	1413
Mon Sep 27 12:11:41 2021	1632719501	5	1416	1421	1237
Mon Sep 27 12:11:41 2021	1632719501	6	1416	1422	1376
Mon Sep 27 12:11:41 2021	1632719501	7	1430	1437	1429
Mon Sep 27 12:11:41 2021	1632719501	5	1460	1465	1443
Mon Sep 27 12:11:41 2021	1632719501	6	1460	1466	1458
Mon Sep 27 12:11:41 2021	1632719501	6	1461	1466	1440
Mon Sep 27 12:11:41 2021	1632719501	5	1531	1536	1527
Mon Sep 27 12:11:41 2021	1632719501	6	1534	1541	1534
Mon Sep 27 12:11:41 2021	1632719501	5	1543	1548	1540
Mon Sep 27 12:11:41 2021	1632719501	5	1544	1549	1530
Mon Sep 27 12:11:41 2021	1632719501	6	1549	1555	1523
Mon Sep 27 12:11:41 2021	1632719501	6	1553	1559	1551
Mon Sep 27 12:11:41 2021	1632719501	7	1591	1598	1421
Mon Sep 27 12:11:41 2021	1632719501	4	1606	1609	1604
Mon Sep 27 12:11:41 2021	1632719501	6	1605	1611	1584
Mon Sep 27 12:11:41 2021	1632719501	5	1607	1612	1602
Mon Sep 27 12:11:41 2021	1632719501	5	1630	1635	1629
Mon Sep 27 12:11:41 2021	1632719501	4	1657	1661	1656
Mon Sep 27 12:11:41 2021	1632719501	4	1661	1665	1660
Mon Sep 27 12:11:41 2021	1632719501	6	1662	1668	1661
Mon Sep 27 12:11:41 2021	1632719501	4	1685	1689	1685
Mon Sep 27 12:11:41 2021	1632719501	6	1704	1711	1702
Mon Sep 27 12:11:41 2021	1632719501	4	1964	1968	1963
Mon Sep 27 12:11:41 2021	1632719501	4	2084	2088	2083
Mon Sep 27 12:11:41 2021	1632719501	4	2105	2109	2104
Mon Sep 27 12:11:41 2021	1632719501	3	2160	2164	2160
Mon Sep 27 12:11:41 2021	1632719501	4	2210	2214	2209
Mon Sep 27 12:11:41 2021	1632719501	3	2214	2217	2213
Mon Sep 27 12:11:41 2021	1632719501	4	2228	2232	2227
Mon Sep 27 12:11:41 2021	1632719501	4	2263	2267	2263
Mon Sep 27 12:11:41 2021	1632719501	4	2274	2278	2272
Mon Sep 27 12:11:41 2021	1632719501	4	2395	2398	2393
Mon Sep 27 12:11:41 2021	1632719501	5	2407	2411	2406
Mon Sep 27 12:11:41 2021	1632719501	4	2415	2420	2415
Mon Sep 27 12:11:43 2021	1632719503	0	2423	2423	2408
Mon Sep 27 12:11:44 2021	1632719504	0	2430	2430	2429
Mon Sep 27 12:11:41 2021	1632719501	4	2429	2433	2428
Mon Sep 27 12:11:41 2021	1632719501	5	2437	2442	2436
Mon Sep 27 12:11:41 2021	1632719501	4	2474	2479	2461
Mon Sep 27 12:11:41 2021	1632719501	2	2477	2479	2476
Mon Sep 27 12:11:41 2021	1632719501	4	2509	2513	2497
Mon Sep 27 12:11:44 2021	1632719504	0	2515	2515	2514
Mon Sep 27 12:11:41 2021	1632719501	4	2532	2536	2532
Mon Sep 27 12:11:41 2021	1632719501	4	2536	2541	2536
Mon Sep 27 12:11:45 2021	1632719505	0	2577	2577	2570
Mon Sep 27 12:11:44 2021	1632719504	0	2603	2603	2602
Mon Sep 27 12:11:42 2021	1632719502	0	2610	2610	2563
Mon Sep 27 12:11:42 2021	1632719502	0	2613	2613	2589
Mon Sep 27 12:11:44 2021	1632719504	0	2615	2615	2613
Mon Sep 27 12:11:41 2021	1632719501	3	2618	2621	2617
Mon Sep 27 12:11:42 2021	1632719502	0	2621	2621	2620
Mon Sep 27 12:11:45 2021	1632719505	0	2631	2631	2630
Mon Sep 27 12:11:43 2021	1632719503	0	2643	2643	2638
Mon Sep 27 12:12:42 2021	1632719562	0	2644	2644	2641
Mon Sep 27 12:11:43 2021	1632719503	0	2650	2650	2649
Mon Sep 27 12:11:45 2021	1632719505	0	2652	2652	2650
Mon Sep 27 12:11:45 2021	1632719505	0	2656	2656	2655
Mon Sep 27 12:11:41 2021	1632719501	5	2653	2658	2651
Mon Sep 27 12:11:45 2021	1632719505	0	2658	2658	2651
Mon Sep 27 12:11:43 2021	1632719503	0	2659	2659	2658
Mon Sep 27 12:11:42 2021	1632719502	0	2662	2662	2661
Mon Sep 27 12:11:42 2021	1632719502	0	2664	2664	2646
Mon Sep 27 12:11:45 2021	1632719505	0	2665	2665	2664
Mon Sep 27 12:12:06 2021	1632719526	0	2666	2666	2665
Mon Sep 27 12:11:41 2021	1632719501	2	2669	2671	2667
Mon Sep 27 12:11:43 2021	1632719503	0	2674	2674	2673
Mon Sep 27 12:11:41 2021	1632719501	3	2677	2680	2675
